Layer,	H,	W,	R,	S,	C,	N,	T,	W_footprint,	I_footprint,	O_footprint,	Memory_cycles_w,	Memory_cycles_i,	Memory_cycles_o,	Memory_cycles,	Compute_cycles,	W_DRAM,	I_DRAM,	O_DRAM,	Total_DRAM,	Total_SRAM,	Total_MACs
16,	28,	28,	1,	1,	512,	128,	1,	128,	784,	98,	25224,	25224,	25224,	27168,	60928,	134144,	3228672,	114688,	3477504,	3902976,	1894144
17,	28,	28,	3,	3,	128,	128,	1,	288,	196,	85,	6824,	6824,	6824,	10048,	132608,	297984,	873472,	114688,	1286144,	8490496,	4187904
18,	28,	28,	1,	1,	128,	512,	1,	128,	196,	392,	25224,	25224,	25224,	29856,	71680,	134144,	3228672,	458752,	3821568,	4601856,	2071552
19,	28,	28,	1,	1,	512,	128,	1,	128,	784,	98,	25224,	25224,	25224,	27168,	60928,	134144,	3228672,	114688,	3477504,	3902976,	1894144
20,	28,	28,	3,	3,	128,	128,	1,	288,	196,	85,	6824,	6824,	6824,	10048,	132608,	297984,	873472,	114688,	1286144,	8490496,	4187904
21,	28,	28,	1,	1,	128,	512,	1,	128,	196,	392,	25224,	25224,	25224,	29856,	71680,	134144,	3228672,	458752,	3821568,	4601856,	2071552
22,	28,	28,	1,	1,	512,	128,	1,	128,	784,	98,	25224,	25224,	25224,	27168,	60928,	134144,	3228672,	114688,	3477504,	3902976,	1894144
23,	28,	28,	3,	3,	128,	128,	1,	288,	196,	85,	6824,	6824,	6824,	10048,	132608,	297984,	873472,	114688,	1286144,	8490496,	4187904
24,	28,	28,	1,	1,	128,	512,	1,	128,	196,	392,	25224,	25224,	25224,	29856,	71680,	134144,	3228672,	458752,	3821568,	4601856,	2071552
25,	28,	28,	1,	1,	512,	256,	2,	256,	784,	53,	3168,	3168,	3168,	6136,	60928,	265216,	405504,	114688,	785408,	3902976,	1894144
26,	14,	14,	3,	3,	256,	256,	1,	1152,	98,	36,	8016,	8016,	8016,	18152,	261632,	1182720,	1026048,	114688,	2323456,	16748032,	8316672
27,	14,	14,	1,	1,	256,	1024,	1,	512,	98,	196,	27416,	27416,	27416,	35120,	129024,	527360,	3509248,	458752,	4495360,	8271872,	3906560
28,	28,	28,	1,	1,	512,	1024,	2,	1024,	784,	211,	3168,	3168,	3168,	14968,	243712,	1051648,	405504,	458752,	1915904,	15611904,	7576576
29,	14,	14,	1,	1,	1024,	256,	1,	512,	392,	49,	27400,	27400,	27400,	32416,	118272,	527360,	3507200,	114688,	4149248,	7572992,	3729152
30,	14,	14,	3,	3,	256,	256,	1,	1152,	98,	36,	8016,	8016,	8016,	18152,	261632,	1182720,	1026048,	114688,	2323456,	16748032,	8316672
31,	14,	14,	1,	1,	256,	1024,	1,	512,	98,	196,	27416,	27416,	27416,	35120,	129024,	527360,	3509248,	458752,	4495360,	8271872,	3906560
32,	14,	14,	1,	1,	1024,	256,	1,	512,	392,	49,	27400,	27400,	27400,	32416,	118272,	527360,	3507200,	114688,	4149248,	7572992,	3729152
33,	14,	14,	3,	3,	256,	256,	1,	1152,	98,	36,	8016,	8016,	8016,	18152,	261632,	1182720,	1026048,	114688,	2323456,	16748032,	8316672
34,	14,	14,	1,	1,	256,	1024,	1,	512,	98,	196,	27416,	27416,	27416,	35120,	129024,	527360,	3509248,	458752,	4495360,	8271872,	3906560
35,	14,	14,	1,	1,	1024,	256,	1,	512,	392,	49,	27400,	27400,	27400,	32416,	118272,	527360,	3507200,	114688,	4149248,	7572992,	3729152
36,	14,	14,	3,	3,	256,	256,	1,	1152,	98,	36,	8016,	8016,	8016,	18152,	261632,	1182720,	1026048,	114688,	2323456,	16748032,	8316672
37,	14,	14,	1,	1,	256,	1024,	1,	512,	98,	196,	27416,	27416,	27416,	35120,	129024,	527360,	3509248,	458752,	4495360,	8271872,	3906560
38,	14,	14,	1,	1,	1024,	256,	1,	512,	392,	49,	27400,	27400,	27400,	32416,	118272,	527360,	3507200,	114688,	4149248,	7572992,	3729152
39,	14,	14,	3,	3,	256,	256,	1,	1152,	98,	36,	8016,	8016,	8016,	18152,	261632,	1182720,	1026048,	114688,	2323456,	16748032,	8316672
40,	14,	14,	1,	1,	256,	1024,	1,	512,	98,	196,	27416,	27416,	27416,	35120,	129024,	527360,	3509248,	458752,	4495360,	8271872,	3906560
41,	14,	14,	1,	1,	1024,	256,	1,	512,	392,	49,	27400,	27400,	27400,	32416,	118272,	527360,	3507200,	114688,	4149248,	7572992,	3729152
42,	14,	14,	3,	3,	256,	256,	1,	1152,	98,	36,	8016,	8016,	8016,	18152,	261632,	1182720,	1026048,	114688,	2323456,	16748032,	8316672
43,	14,	14,	1,	1,	256,	1024,	1,	512,	98,	196,	27416,	27416,	27416,	35120,	129024,	527360,	3509248,	458752,	4495360,	8271872,	3906560
44,	14,	14,	3,	3,	1024,	512,	1,	9216,	392,	72,	64032,	64032,	64032,	139576,	2071552,	9440256,	8196096,	229376,	17865728,	132586496,	66178560
45,	14,	14,	1,	1,	512,	36,	1,	36,	196,	7,	3432,	3432,	3432,	4192,	15232,	68608,	439296,	28672,	536576,	975744,	473536
46,	14,	14,	1,	1,	512,	18,	1,	18,	196,	4,	1720,	1720,	1720,	1802200,	7616,	230447104,	220160,	14336,	230681600,	487872,	236768
