Layer,	H,	W,	R,	S,	C,	N,	T,	W_footprint,	I_footprint,	O_footprint,	Memory_cycles_w,	Memory_cycles_i,	Memory_cycles_o,	Memory_cycles,	Compute_cycles,	W_DRAM,	I_DRAM,	O_DRAM,	Total_DRAM,	Total_SRAM,	Total_MACs
23,	28,	28,	3,	3,	128,	128,	1,	288,	196,	85,	6824,	6824,	6824,	10048,	132608,	297984,	873472,	114688,	1286144,	8490496,	4187904
24,	28,	28,	1,	1,	128,	512,	1,	128,	196,	392,	25224,	25224,	25224,	29856,	71680,	134144,	3228672,	458752,	3821568,	4601856,	2071552
25,	28,	28,	1,	1,	512,	1024,	1,	1024,	784,	784,	201736,	201736,	201736,	217120,	487424,	1051648,	25822208,	917504,	27791360,	31223808,	15153152
26,	28,	28,	1,	1,	512,	256,	1,	256,	784,	196,	50440,	50440,	50440,	54304,	121856,	265216,	6456320,	229376,	6950912,	7805952,	3788288
27,	28,	28,	3,	3,	256,	256,	1,	1152,	392,	169,	27272,	27272,	27272,	38304,	523264,	1182720,	3490816,	229376,	4902912,	33496064,	16633344
28,	14,	14,	1,	1,	256,	1024,	1,	512,	98,	196,	27416,	27416,	27416,	35120,	129024,	527360,	3509248,	458752,	4495360,	8271872,	3906560
29,	14,	14,	1,	1,	1024,	256,	1,	512,	392,	49,	27400,	27400,	27400,	32416,	118272,	527360,	3507200,	114688,	4149248,	7572992,	3729152
30,	14,	14,	3,	3,	256,	256,	1,	1152,	98,	36,	8016,	8016,	8016,	18152,	261632,	1182720,	1026048,	114688,	2323456,	16748032,	8316672
31,	14,	14,	1,	1,	256,	1024,	1,	512,	98,	196,	27416,	27416,	27416,	35120,	129024,	527360,	3509248,	458752,	4495360,	8271872,	3906560
32,	14,	14,	1,	1,	1024,	256,	1,	512,	392,	49,	27400,	27400,	27400,	32416,	118272,	527360,	3507200,	114688,	4149248,	7572992,	3729152
33,	14,	14,	3,	3,	256,	256,	1,	1152,	98,	36,	8016,	8016,	8016,	18152,	261632,	1182720,	1026048,	114688,	2323456,	16748032,	8316672
34,	14,	14,	1,	1,	256,	1024,	1,	512,	98,	196,	27416,	27416,	27416,	35120,	129024,	527360,	3509248,	458752,	4495360,	8271872,	3906560
35,	14,	14,	1,	1,	1024,	256,	1,	512,	392,	49,	27400,	27400,	27400,	32416,	118272,	527360,	3507200,	114688,	4149248,	7572992,	3729152
36,	14,	14,	3,	3,	256,	256,	1,	1152,	98,	36,	8016,	8016,	8016,	18152,	261632,	1182720,	1026048,	114688,	2323456,	16748032,	8316672
37,	14,	14,	1,	1,	256,	1024,	1,	512,	98,	196,	27416,	27416,	27416,	35120,	129024,	527360,	3509248,	458752,	4495360,	8271872,	3906560
38,	14,	14,	1,	1,	1024,	256,	1,	512,	392,	49,	27400,	27400,	27400,	32416,	118272,	527360,	3507200,	114688,	4149248,	7572992,	3729152
39,	14,	14,	3,	3,	256,	256,	1,	1152,	98,	36,	8016,	8016,	8016,	18152,	261632,	1182720,	1026048,	114688,	2323456,	16748032,	8316672
40,	14,	14,	1,	1,	256,	1024,	1,	512,	98,	196,	27416,	27416,	27416,	35120,	129024,	527360,	3509248,	458752,	4495360,	8271872,	3906560
41,	14,	14,	1,	1,	1024,	256,	1,	512,	392,	49,	27400,	27400,	27400,	32416,	118272,	527360,	3507200,	114688,	4149248,	7572992,	3729152
42,	14,	14,	3,	3,	256,	256,	1,	1152,	98,	36,	8016,	8016,	8016,	18152,	261632,	1182720,	1026048,	114688,	2323456,	16748032,	8316672
43,	14,	14,	1,	1,	256,	1024,	1,	512,	98,	196,	27416,	27416,	27416,	35120,	129024,	527360,	3509248,	458752,	4495360,	8271872,	3906560
44,	14,	14,	1,	1,	1024,	2048,	1,	4096,	392,	392,	219176,	219176,	219176,	259136,	946176,	4197376,	28054528,	917504,	33169408,	60583936,	29833216
45,	14,	14,	1,	1,	1024,	512,	1,	1024,	392,	98,	54800,	54800,	54800,	64808,	236544,	1051648,	7014400,	229376,	8295424,	15145984,	7458304
46,	14,	14,	3,	3,	512,	512,	1,	4608,	196,	72,	32032,	32032,	32032,	70712,	1039360,	4721664,	4100096,	229376,	9051136,	66526208,	33148416
47,	7,	7,	1,	1,	512,	2048,	1,	2048,	49,	98,	38144,	38144,	38144,	58136,	243712,	2100224,	4882432,	458752,	7441408,	15611904,	7576576
48,	7,	7,	1,	1,	2048,	512,	1,	2048,	196,	25,	37936,	37936,	37936,	55240,	232960,	2100224,	4855808,	114688,	7070720,	14913024,	7399168
49,	7,	7,	3,	3,	512,	512,	1,	4608,	49,	13,	12392,	12392,	12392,	50176,	519680,	4721664,	1586176,	114688,	6422528,	33263104,	16574208
50,	7,	7,	1,	1,	512,	2048,	1,	2048,	49,	98,	38144,	38144,	38144,	58136,	243712,	2100224,	4882432,	458752,	7441408,	15611904,	7576576
51,	7,	7,	1,	1,	2048,	512,	1,	2048,	196,	25,	37936,	37936,	37936,	55240,	232960,	2100224,	4855808,	114688,	7070720,	14913024,	7399168
52,	7,	7,	3,	3,	512,	512,	1,	4608,	49,	13,	12392,	12392,	12392,	50176,	519680,	4721664,	1586176,	114688,	6422528,	33263104,	16574208
53,	7,	7,	1,	1,	512,	2048,	1,	2048,	49,	98,	38144,	38144,	38144,	58136,	243712,	2100224,	4882432,	458752,	7441408,	15611904,	7576576
54,	1,	1,	1,	1,	2048,	1000,	1,	4000,	4,	1,	16780296,	16780296,	16780296,	16813344,	66560,	4197376,	2147877888,	32768,	2152108032,	4260864,	2114048
